run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,early_to_15_mins_late_percent,flts_16_to_30_mins_late_percent,flts_31_to_60_mins_late_percent,flts_61_to_180_mins_late_percent,flts_181_to_360_mins_late_percent,more_than_360_mins_late_percent,average_delay_mins,planned_flights_unmatched,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
24/09/2015 16:11,201504,ABERDEEN,DENMARK,COPENHAGEN,SAS,A,S,52,0,94.23076923,3.846153846,1.923076923,0,0,0,2.365384615,1,53,94.33962264,3.018867925
24/09/2015 16:11,201504,ABERDEEN,DENMARK,COPENHAGEN,SAS,D,S,52,0,94.23076923,3.846153846,1.923076923,0,0,0,2.884615385,1,53,86.79245283,6.226415094
24/09/2015 16:11,201504,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,A,S,24,0,87.5,8.333333333,4.166666667,0,0,0,4.458333333,0,24,75,10.04166667
24/09/2015 16:11,201504,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,D,S,24,0,87.5,8.333333333,4.166666667,0,0,0,6.916666667,0,24,87.5,9
24/09/2015 16:11,201504,ABERDEEN,DENMARK,ESBJERG,EASTERN AIRWAYS,A,C,1,0,100,0,0,0,0,0,0,0,0,0,0
24/09/2015 16:11,201504,ABERDEEN,DENMARK,ESBJERG,EASTERN AIRWAYS,D,C,1,0,100,0,0,0,0,0,1,0,0,0,0
24/09/2015 16:11,201504,ABERDEEN,FAROE ISLANDS,VAGAR,ATLANTIC AIRWAYS,A,C,0,0,0,0,0,0,0,0,0,0,3,100,5.666666667
24/09/2015 16:11,201504,ABERDEEN,FAROE ISLANDS,VAGAR,ATLANTIC AIRWAYS,D,C,0,0,0,0,0,0,0,0,0,0,3,100,7.333333333
24/09/2015 16:11,201504,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),HOP - R C A E ,A,S,79,0,87.34177215,10.12658228,2.53164557,0,0,0,5.53164557,0,83,79.51807229,8.915662651
24/09/2015 16:11,201504,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),HOP - R C A E ,D,S,79,0,91.13924051,2.53164557,6.329113924,0,0,0,6.17721519,0,82,82.92682927,8.841463415
24/09/2015 16:11,201504,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,A,S,59,0,69.49152542,15.25423729,5.084745763,10.16949153,0,0,18.22033898,0,77,75.32467532,17.37662338
24/09/2015 16:11,201504,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,D,S,59,0,86.44067797,11.86440678,1.694915254,0,0,0,6.13559322,0,77,74.02597403,13.38961039
24/09/2015 16:11,201504,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA CITY LINE,A,S,0,0,0,0,0,0,0,0,0,0,1,0,19
24/09/2015 16:11,201504,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA CITY LINE,D,S,0,0,0,0,0,0,0,0,0,0,1,100,6
24/09/2015 16:11,201504,ABERDEEN,IRISH REPUBLIC,DUBLIN,STOBART AIR ,A,S,30,0,86.66666667,3.333333333,3.333333333,6.666666667,0,0,10.56666667,0,37,89.18918919,11.7027027
24/09/2015 16:11,201504,ABERDEEN,IRISH REPUBLIC,DUBLIN,STOBART AIR ,D,S,30,0,83.33333333,0,10,6.666666667,0,0,14.96666667,0,37,81.08108108,15.94594595
24/09/2015 16:11,201504,ABERDEEN,LATVIA,RIGA,AIR BALTIC,A,S,0,0,0,0,0,0,0,0,0,0,17,94.11764706,2.647058824
24/09/2015 16:11,201504,ABERDEEN,LATVIA,RIGA,AIR BALTIC,D,S,0,0,0,0,0,0,0,0,0,0,17,82.35294118,11.29411765
24/09/2015 16:11,201504,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,A,S,89,0,77.52808989,10.11235955,4.494382022,7.865168539,0,0,14.62921348,1,83,89.15662651,5.710843373
24/09/2015 16:11,201504,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,D,S,89,0,76.40449438,10.11235955,5.617977528,7.865168539,0,0,14.47191011,1,84,84.52380952,9.535714286
24/09/2015 16:11,201504,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,A,S,62,0,83.87096774,14.51612903,1.612903226,0,0,0,5.451612903,0,63,87.3015873,8.904761905
24/09/2015 16:11,201504,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,D,S,62,0,90.32258065,3.225806452,3.225806452,3.225806452,0,0,7.661290323,0,63,82.53968254,10.88888889
24/09/2015 16:11,201504,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,A,S,52,0,88.46153846,5.769230769,3.846153846,1.923076923,0,0,7.096153846,1,62,90.32258065,6.580645161
24/09/2015 16:11,201504,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,D,S,52,0,86.53846154,5.769230769,5.769230769,1.923076923,0,0,7.384615385,1,62,85.48387097,6.903225806
24/09/2015 16:11,201504,ABERDEEN,NORWAY,KRISTIANSUND (KUERNBERGET),BMI REGIONAL,A,S,0,0,0,0,0,0,0,0,0,0,15,86.66666667,16.46666667
24/09/2015 16:11,201504,ABERDEEN,NORWAY,KRISTIANSUND (KUERNBERGET),BMI REGIONAL,D,S,0,0,0,0,0,0,0,0,0,0,15,86.66666667,6.6
24/09/2015 16:11,201504,ABERDEEN,NORWAY,OSLO (GARDERMOEN),BMI REGIONAL,A,S,24,0,83.33333333,12.5,4.166666667,0,0,0,5.75,0,38,86.84210526,5.157894737
24/09/2015 16:11,201504,ABERDEEN,NORWAY,OSLO (GARDERMOEN),BMI REGIONAL,D,S,24,0,79.16666667,12.5,8.333333333,0,0,0,10.66666667,0,39,92.30769231,5.435897436
24/09/2015 16:11,201504,ABERDEEN,NORWAY,OSLO (GARDERMOEN),SAS,A,S,26,0,100,0,0,0,0,0,3.461538462,0,24,87.5,7.208333333
24/09/2015 16:11,201504,ABERDEEN,NORWAY,OSLO (GARDERMOEN),SAS,D,S,26,0,96.15384615,3.846153846,0,0,0,0,4.076923077,0,24,87.5,6.125
24/09/2015 16:11,201504,ABERDEEN,NORWAY,STAVANGER,EASTERN AIRWAYS,A,S,0,0,0,0,0,0,0,0,0,0,41,78.04878049,12.97560976
24/09/2015 16:11,201504,ABERDEEN,NORWAY,STAVANGER,EASTERN AIRWAYS,D,S,0,0,0,0,0,0,0,0,0,0,46,80.43478261,12.06521739
24/09/2015 16:11,201504,ABERDEEN,NORWAY,STAVANGER,SAS,A,S,50,0,94,2,2,2,0,0,3.68,0,54,85.18518519,6.351851852
24/09/2015 16:11,201504,ABERDEEN,NORWAY,STAVANGER,SAS,D,S,50,0,92,2,4,2,0,0,4.3,0,54,87.03703704,7.222222222
24/09/2015 16:11,201504,ABERDEEN,NORWAY,STAVANGER,WIDEROE FLYVESELSKAP A/S,A,S,70,0,92.85714286,4.285714286,1.428571429,1.428571429,0,0,4.628571429,0,64,84.375,7.140625
24/09/2015 16:11,201504,ABERDEEN,NORWAY,STAVANGER,WIDEROE FLYVESELSKAP A/S,D,S,69,0,95.65217391,2.898550725,0,1.449275362,0,0,3.565217391,1,65,89.23076923,5.584615385
24/09/2015 16:11,201504,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),THOMAS COOK AIRLINES LTD,A,S,0,0,0,0,0,0,0,0,0,0,4,100,0
24/09/2015 16:11,201504,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),THOMAS COOK AIRLINES LTD,D,S,0,0,0,0,0,0,0,0,0,0,4,50,16.75
24/09/2015 16:11,201504,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),THOMSON AIRWAYS LTD,A,C,8,0,100,0,0,0,0,0,0,0,4,100,7
24/09/2015 16:11,201504,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),THOMSON AIRWAYS LTD,D,C,8,0,87.5,0,12.5,0,0,0,6.625,0,4,50,16
24/09/2015 16:11,201504,ABERDEEN,SWITZERLAND,GENEVA,EASYJET SWITZERLAND,A,S,3,0,66.66666667,0,0,0,33.33333333,0,70.66666667,0,0,0,0
24/09/2015 16:11,201504,ABERDEEN,SWITZERLAND,GENEVA,EASYJET SWITZERLAND,D,S,3,0,66.66666667,0,0,0,33.33333333,0,77.33333333,0,0,0,0
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),FLYBE LTD,A,S,26,0,76.92307692,7.692307692,11.53846154,3.846153846,0,0,12.96153846,0,26,61.53846154,18.92307692
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),FLYBE LTD,D,S,26,0,88.46153846,0,7.692307692,3.846153846,0,0,10.34615385,0,26,50,18.76923077
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,FLYBE LTD,A,S,84,0,95.23809524,1.19047619,3.571428571,0,0,0,2.773809524,0,104,84.61538462,9.028846154
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,FLYBE LTD,D,S,84,0,78.57142857,16.66666667,3.571428571,1.19047619,0,0,8.821428571,0,104,71.15384615,14.47115385
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,BRISTOL,BMI REGIONAL,A,S,46,0,93.47826087,4.347826087,2.173913043,0,0,0,5.173913043,1,45,91.11111111,8.533333333
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,BRISTOL,BMI REGIONAL,D,S,46,0,84.7826087,10.86956522,2.173913043,2.173913043,0,0,7.52173913,0,45,71.11111111,16.28888889
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,CARDIFF WALES,EASTERN AIRWAYS,A,S,21,0,80.95238095,14.28571429,4.761904762,0,0,0,6.761904762,0,24,62.5,25.75
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,CARDIFF WALES,EASTERN AIRWAYS,D,S,23,0,73.91304348,4.347826087,4.347826087,17.39130435,0,0,22.08695652,1,22,86.36363636,11.13636364
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,DURHAM TEES VALLEY,EASTERN AIRWAYS,A,S,81,0,81.48148148,8.641975309,4.938271605,4.938271605,0,0,11.90123457,6,84,83.33333333,12.46428571
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,DURHAM TEES VALLEY,EASTERN AIRWAYS,D,S,80,0,92.5,3.75,2.5,1.25,0,0,4.375,0,83,84.3373494,9.879518072
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EASTERN AIRWAYS,A,S,54,0,85.18518519,7.407407407,3.703703704,3.703703704,0,0,9.888888889,1,53,83.01886792,12.9245283
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EASTERN AIRWAYS,D,S,54,0,87.03703704,7.407407407,1.851851852,1.851851852,1.851851852,0,9.925925926,0,54,75.92592593,9.574074074
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET AIRLINE COMPANY LTD,A,S,56,0,78.57142857,5.357142857,16.07142857,0,0,0,10.32142857,0,56,82.14285714,8.892857143
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET AIRLINE COMPANY LTD,D,S,56,0,64.28571429,16.07142857,14.28571429,5.357142857,0,0,17.42857143,0,56,71.42857143,14.14285714
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,A,S,244,0,79.91803279,10.24590164,7.37704918,2.459016393,0,0,10.77459016,0,232,71.98275862,13.9612069
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,D,S,244,0,79.91803279,11.06557377,6.147540984,2.459016393,0.409836066,0,11.06147541,0,231,77.48917749,12.05627706
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,HEATHROW,VIRGIN ATLANTIC AIRWAYS LTD,A,S,90,0,97.77777778,2.222222222,0,0,0,0,2.044444444,0,89,75.28089888,14.04494382
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,HEATHROW,VIRGIN ATLANTIC AIRWAYS LTD,D,S,90,0,88.88888889,10,1.111111111,0,0,0,4.722222222,0,88,81.81818182,12.09090909
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,A,S,76,0,88.15789474,6.578947368,5.263157895,0,0,0,6.25,2,78,67.94871795,20.37179487
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,D,S,77,0,88.31168831,9.090909091,2.597402597,0,0,0,6,1,77,75.32467532,17.44155844
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR,A,S,80,0,80,5,6.25,8.75,0,0,12.1375,0,82,84.14634146,10.85365854
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR,D,S,80,0,66.25,8.75,10,13.75,1.25,0,25.5875,1,82,80.48780488,12.32926829
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,LEEDS BRADFORD,EASTERN AIRWAYS,A,S,26,0,76.92307692,11.53846154,7.692307692,3.846153846,0,0,10.73076923,0,15,73.33333333,18.66666667
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,LEEDS BRADFORD,EASTERN AIRWAYS,D,S,25,0,96,0,0,4,0,0,4.56,0,20,90,4.65
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,LONDON CITY,BA CITYFLYER LTD,A,S,0,0,0,0,0,0,0,0,0,0,45,91.11111111,4.644444444
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,LONDON CITY,BA CITYFLYER LTD,D,S,0,0,0,0,0,0,0,0,0,0,46,95.65217391,3.239130435
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,LONDON CITY,BRITISH AIRWAYS PLC,A,S,0,0,0,0,0,0,0,0,0,0,12,50,15.33333333
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,LONDON CITY,BRITISH AIRWAYS PLC,D,S,0,0,0,0,0,0,0,0,0,0,16,93.75,5.75
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,LONDON CITY,FLYBE LTD,A,S,66,0,83.33333333,10.60606061,0,4.545454545,1.515151515,0,14.04545455,0,0,0,0
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,LONDON CITY,FLYBE LTD,D,S,66,2,69.6969697,21.21212121,4.545454545,1.515151515,3.03030303,0,19.43939394,1,0,0,0
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET AIRLINE COMPANY LTD,A,S,26,0,57.69230769,23.07692308,7.692307692,11.53846154,0,0,16.88461538,0,30,83.33333333,7.133333333
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET AIRLINE COMPANY LTD,D,S,27,0,40.74074074,33.33333333,14.81481481,11.11111111,0,0,24.33333333,0,30,63.33333333,12.86666667
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,MANCHESTER,BMI REGIONAL,A,S,0,0,0,0,0,0,0,0,0,0,63,76.19047619,14.41269841
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,MANCHESTER,BMI REGIONAL,D,S,0,0,0,0,0,0,0,0,0,0,64,82.8125,12
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,MANCHESTER,EASTERN AIRWAYS,A,C,2,0,0,0,100,0,0,0,36,0,1,100,12
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,MANCHESTER,EASTERN AIRWAYS,D,C,2,0,100,0,0,0,0,0,7,0,1,100,8
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,MANCHESTER,FLYBE LTD,A,S,131,0,80.91603053,9.160305344,5.34351145,3.816793893,0.763358779,0,11.91603053,1,137,78.10218978,10.38686131
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,MANCHESTER,FLYBE LTD,D,S,130,0,76.15384615,12.30769231,6.923076923,3.846153846,0.769230769,0,14,1,136,74.26470588,14.83823529
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,A,S,50,1,86,8,4,2,0,0,8.4,4,62,77.41935484,14.93548387
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,D,S,46,0,76.08695652,17.39130435,4.347826087,2.173913043,0,0,10.19565217,2,60,70,15.01666667
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,NORWICH,BMI REGIONAL,A,S,45,0,91.11111111,2.222222222,6.666666667,0,0,0,4.866666667,0,50,92,7.88
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,NORWICH,BMI REGIONAL,D,S,45,0,86.66666667,6.666666667,4.444444444,2.222222222,0,0,7.111111111,0,50,92,8.86
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,NORWICH,EASTERN AIRWAYS,A,S,68,0,83.82352941,5.882352941,8.823529412,1.470588235,0,0,8.911764706,1,61,77.04918033,13.98360656
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,NORWICH,EASTERN AIRWAYS,D,S,68,0,79.41176471,8.823529412,7.352941176,4.411764706,0,0,11.26470588,5,61,77.04918033,11.60655738
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,EASTERN AIRWAYS,A,S,40,0,75,5,10,10,0,0,14.85,0,42,71.42857143,28.52380952
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,EASTERN AIRWAYS,D,S,41,0,87.80487805,4.87804878,7.317073171,0,0,0,7.926829268,1,38,86.84210526,15.28947368
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,STORNOWAY,EASTERN AIRWAYS,A,S,22,0,90.90909091,0,4.545454545,0,4.545454545,0,17.31818182,0,22,90.90909091,10.81818182
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,STORNOWAY,EASTERN AIRWAYS,D,S,22,0,86.36363636,0,4.545454545,9.090909091,0,0,11.36363636,1,22,90.90909091,13.40909091
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR,A,S,120,0,78.33333333,6.666666667,9.166666667,5,0.833333333,0,14.10833333,6,129,80.62015504,11.00775194
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR,D,S,120,0,70,10,8.333333333,10.83333333,0.833333333,0,20.95833333,6,133,71.42857143,17.63909774
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,A,S,55,0,87.27272727,5.454545455,5.454545455,1.818181818,0,0,7.763636364,19,50,78,14.78
24/09/2015 16:11,201504,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,D,S,55,0,85.45454545,1.818181818,10.90909091,1.818181818,0,0,9.109090909,4,50,84,9.3
24/09/2015 16:11,201504,BELFAST CITY (GEORGE BEST),ITALY,VERONA VILLAFRANCA,AER LINGUS,A,C,1,0,100,0,0,0,0,0,0,0,0,0,0
24/09/2015 16:11,201504,BELFAST CITY (GEORGE BEST),ITALY,VERONA VILLAFRANCA,AER LINGUS,D,C,1,0,100,0,0,0,0,0,0,0,0,0,0
24/09/2015 16:11,201504,BELFAST CITY (GEORGE BEST),PORTUGAL(EXCLUDING MADEIRA),FARO,AER LINGUS,A,S,23,0,95.65217391,4.347826087,0,0,0,0,3.304347826,0,30,90,8.266666667
24/09/2015 16:11,201504,BELFAST CITY (GEORGE BEST),PORTUGAL(EXCLUDING MADEIRA),FARO,AER LINGUS,D,S,23,0,100,0,0,0,0,0,1.826086957,0,30,93.33333333,5.933333333
24/09/2015 16:11,201504,BELFAST CITY (GEORGE BEST),SPAIN,BARCELONA,VUELING AIRLINES,A,S,2,0,50,50,0,0,0,0,12.5,0,0,0,0
24/09/2015 16:11,201504,BELFAST CITY (GEORGE BEST),SPAIN,BARCELONA,VUELING AIRLINES,D,S,2,0,100,0,0,0,0,0,7.5,0,0,0,0
24/09/2015 16:11,201504,BELFAST CITY (GEORGE BEST),SPAIN,MALAGA,AER LINGUS,A,S,21,0,95.23809524,0,4.761904762,0,0,0,2.428571429,0,27,85.18518519,8.962962963
24/09/2015 16:11,201504,BELFAST CITY (GEORGE BEST),SPAIN,MALAGA,AER LINGUS,D,S,21,0,85.71428571,14.28571429,0,0,0,0,7.619047619,0,27,81.48148148,10.88888889
