run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,early_to_15_mins_late_percent,flts_16_to_30_mins_late_percent,flts_31_to_60_mins_late_percent,flts_61_to_180_mins_late_percent,flts_181_to_360_mins_late_percent,more_than_360_mins_late_percent,average_delay_mins,planned_flights_unmatched,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
5/29/2018 1:40:07 PM,201712,ABERDEEN,DENMARK,COPENHAGEN,SAS,A,S,19,0,68.42105263,0,15.78947368,15.78947368,0,0,22.52632,0,31,87.09677419,7.419354839
5/29/2018 1:40:07 PM,201712,ABERDEEN,DENMARK,COPENHAGEN,SAS,D,S,19,0,57.89473684,0,21.05263158,21.05263158,0,0,26.52632,0,31,87.09677419,8
5/29/2018 1:40:07 PM,201712,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,A,S,18,0,66.66666667,16.66666667,0,16.66666667,0,0,30,0,20,75,7.9
5/29/2018 1:40:07 PM,201712,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,D,S,18,0,50,27.77777778,5.555555556,16.66666667,0,0,33.16667,0,20,85,7.75
5/29/2018 1:40:07 PM,201712,ABERDEEN,FINLAND,ENONTEKIO,ENTER AIR,A,C,1,0,0,0,0,100,0,0,122,0,1,100,0
5/29/2018 1:40:07 PM,201712,ABERDEEN,FINLAND,ENONTEKIO,ENTER AIR,D,C,1,0,0,0,100,0,0,0,58,0,1,100,14
5/29/2018 1:40:07 PM,201712,ABERDEEN,FINLAND,IVALO,SMALL PLANET AIRLINES,A,C,1,0,0,0,100,0,0,0,31,0,1,100,11
5/29/2018 1:40:07 PM,201712,ABERDEEN,FINLAND,IVALO,SMALL PLANET AIRLINES,D,C,1,0,0,0,100,0,0,0,46,0,1,0,221
5/29/2018 1:40:07 PM,201712,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),AIR FRANCE,A,S,84,0,84.52380952,11.90476191,2.380952381,1.19047619,0,0,6.02381,0,61,70.49180328,15.14754098
5/29/2018 1:40:07 PM,201712,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),AIR FRANCE,D,S,84,0,75,21.42857143,2.380952381,1.19047619,0,0,9.94048,0,61,68.85245902,16.68852459
5/29/2018 1:40:07 PM,201712,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,A,S,57,0,70.1754386,10.52631579,5.263157895,5.263157895,8.771929825,0,34.94737,0,57,77.19298246,18.10526316
5/29/2018 1:40:07 PM,201712,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,D,S,57,0,57.89473684,14.03508772,12.28070175,12.28070175,3.50877193,0,34.59649,0,58,86.20689655,8.068965517
5/29/2018 1:40:07 PM,201712,ABERDEEN,ICELAND,AKUREYRI,FLUGFELAG ISLANDS(AIR ICELAND),D,S,1,0,100,0,0,0,0,0,0,0,0,0,0
5/29/2018 1:40:07 PM,201712,ABERDEEN,ICELAND,KEFLAVIK,FLUGFELAG ISLANDS(AIR ICELAND),A,S,9,0,100,0,0,0,0,0,1.66667,0,13,46.15384615,33.69230769
5/29/2018 1:40:07 PM,201712,ABERDEEN,ICELAND,KEFLAVIK,FLUGFELAG ISLANDS(AIR ICELAND),D,S,8,0,100,0,0,0,0,0,3,0,13,100,2.153846154
5/29/2018 1:40:07 PM,201712,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,A,S,40,0,90,5,2.5,2.5,0,0,4.725,0,30,96.66666667,2.566666667
5/29/2018 1:40:07 PM,201712,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,D,S,40,0,72.5,15,7.5,5,0,0,14.7,0,30,90,5.7
5/29/2018 1:40:07 PM,201712,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,A,S,76,0,75,10.52631579,9.210526316,5.263157895,0,0,13.35526,0,74,82.43243243,11.40540541
